name,source,gender,wikidata,type
"Lydia Koidula tänav",wikidata,F,Q237056,relation
"Miina Härma tänav",wikidata,F,Q438792,relation
"A. H. Tammsaare tee",wikidata,M,Q353637,relation
"Adam Johann von Krusensterni väljak",wikidata,M,Q160888,relation
"Ado Reinvaldi",wikidata,M,Q359922,way
"Amandus Adamsoni tänav",wikidata,M,Q454331,relation
"Ants Laikmaa tänav",wikidata,M,Q609387,relation
"Ants Lauteri",wikidata,M,Q3739112,way
"Artur Kapi",wikidata,M,Q714510,way
"August Alle",wikidata,M,Q760801,way
"August Kitzbergi tänav",wikidata,M,Q376410,relation
"August Weizenbergi tänav",wikidata,M,Q356158,relation
"Carl Robert Jakobsoni tänav",wikidata,M,Q725191,relation
"Eduard Bornhöhe tee",wikidata,M,Q717712,way
"Eduard Viiralti tänav",wikidata,M,Q1290386,relation
"Eduard Vilde tee",wikidata,M,Q464207,relation+way
"Ernst Särgava allee",wikidata,M,Q16408491,way
"Falgi tee",wikidata,M,Q2711924,way
"Ferdinand Johann Wiedemanni tänav",wikidata,M,Q705843,relation
"Friedrich Kuhlbarsi",wikidata,M,Q1460601,way
"Friedrich Reinhold Kreutzwaldi tänav",wikidata,M,Q333900,relation
"Friedrich Robert Faehlmanni tänav",wikidata,M,Q1358911,relation
"Georg Otsa",wikidata,M,Q1280772,way
"Gonsiori tänav",wikidata,M,Q31277799,relation
"Jaan Koorti tänav",wikidata,M,Q3742903,relation
"Jaan Poska tänav",wikidata,M,Q1385836,relation
"Jakob Mändmetsa",wikidata,M,Q1679249,way
"Jakob Pärna",wikidata,M,Q1679296,way
"Johann Köleri tänav",wikidata,M,Q724444,relation
"Johann Voldemar Jannseni tänav",wikidata,M,Q362138,relation
"Johannes Kappeli",wikidata,M,Q122598,way
"Juhan Kunderi tänav",wikidata,M,Q12365486,relation
"Juhan Smuuli tee",wikidata,M,Q1711542,relation+way
"Juhan Sütiste tee",wikidata,M,Q1649161,relation+way
"Jüri Vilmsi tänav",wikidata,M,Q1717908,relation
"Karl August Hermanni tänav",wikidata,M,Q721139,relation
"Kentmanni tänav",wikidata,M,Q12379257,relation
"Konstantin Türnpu tänav",wikidata,M,Q1782775,relation
"Kristjan Kärberi tänav",wikidata,M,Q15644556,relation
"Kristjan Raua tänav",wikidata,M,Q958115,relation
Lembitu,wikidata,M,Q960492,way
"Nikolai von Glehni tänav",wikidata,M,Q3341603,relation
"Paul Kerese tänav",wikidata,M,Q207727,relation
"Paul Pinna tänav",wikidata,M,Q10346296,relation
"Peeter Süda tänav",wikidata,M,Q920099,relation
"Rudolf Tobiase",wikidata,M,Q1346393,way
"Villem Reimani tänav",wikidata,M,Q12083843,relation
